interview__key	interview__id	date	time	action	originator	role	responsible__name	responsible__role
77-81-02-64	0028ff1866b04094b517f13b84fcaa5f	2023-07-28	05:13:50	12	pilotInt33	1	pilotInt33	1
77-81-02-64	0028ff1866b04094b517f13b84fcaa5f	2023-07-28	05:13:50	0	pilotInt33	1	supUserICT	2
77-81-02-64	0028ff1866b04094b517f13b84fcaa5f	2023-07-28	05:13:51	20	pilotInt33	1	pilotInt33	1
77-81-02-64	0028ff1866b04094b517f13b84fcaa5f	2023-07-28	05:13:50	1	pilotInt33	1	pilotInt33	1
77-81-02-64	0028ff1866b04094b517f13b84fcaa5f	2023-07-28	06:26:20	3	pilotInt33	1	supUserICT	2
98-39-11-05	17b57d23a0ab4957939f2995daa1cca0	2023-07-28	06:32:33	12	pilotInt32	1	pilotInt32	1
98-39-11-05	17b57d23a0ab4957939f2995daa1cca0	2023-07-28	06:32:33	0	pilotInt32	1	supUserICT	2
98-39-11-05	17b57d23a0ab4957939f2995daa1cca0	2023-07-28	06:32:34	20	pilotInt32	1	pilotInt32	1
98-39-11-05	17b57d23a0ab4957939f2995daa1cca0	2023-07-28	06:32:33	1	pilotInt32	1	pilotInt32	1
98-39-11-05	17b57d23a0ab4957939f2995daa1cca0	2023-07-28	06:40:22	3	pilotInt32	1	supUserICT	2
57-46-57-29	75d8bcdbcb524fa4b48e59b7ecb42d98	2023-07-28	04:53:36	12	pilotInt35	1	pilotInt35	1
57-46-57-29	75d8bcdbcb524fa4b48e59b7ecb42d98	2023-07-28	04:53:36	0	pilotInt35	1	supUserICT	2
57-46-57-29	75d8bcdbcb524fa4b48e59b7ecb42d98	2023-07-28	04:53:37	20	pilotInt35	1	pilotInt35	1
57-46-57-29	75d8bcdbcb524fa4b48e59b7ecb42d98	2023-07-28	04:53:36	1	pilotInt35	1	pilotInt35	1
57-46-57-29	75d8bcdbcb524fa4b48e59b7ecb42d98	2023-07-28	05:57:43	3	pilotInt35	1	supUserICT	2
74-34-88-96	a3c9c911e4904dffa3e0c549cb70f9d5	2023-07-28	04:54:14	12	pilotInt34	1	pilotInt34	1
74-34-88-96	a3c9c911e4904dffa3e0c549cb70f9d5	2023-07-28	04:54:14	0	pilotInt34	1	supUserICT	2
74-34-88-96	a3c9c911e4904dffa3e0c549cb70f9d5	2023-07-28	04:54:15	20	pilotInt34	1	pilotInt34	1
74-34-88-96	a3c9c911e4904dffa3e0c549cb70f9d5	2023-07-28	04:54:14	1	pilotInt34	1	pilotInt34	1
74-34-88-96	a3c9c911e4904dffa3e0c549cb70f9d5	2023-07-28	06:10:57	3	pilotInt34	1	supUserICT	2
